Entry	Entry name	Protein names	Domain [FT]
Q9Y5E4	PCDB5_HUMAN	Protocadherin beta-5 (PCDH-beta-5)	DOMAIN 35..133;  /note="Cadherin 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 138..242;  /note="Cadherin 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 247..346;  /note="Cadherin 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 351..450;  /note="Cadherin 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 455..560;  /note="Cadherin 5";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 567..670;  /note="Cadherin 6";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"
Q86X76	NIT1_HUMAN	Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1)	DOMAIN 46..298;  /note="CN hydrolase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00054"
Q8IVL6	P3H3_HUMAN	Prolyl 3-hydroxylase 3 (EC 1.14.11.7) (Leprecan-like protein 2) (Protein B)	DOMAIN 561..675;  /note="Fe2OG dioxygenase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00805"
Q5MIZ7	P4R3B_HUMAN	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)	DOMAIN 1..100;  /note="WH1"
P21452	NK2R_HUMAN	Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2)	
O94913	PCF11_HUMAN	Pre-mRNA cleavage complex 2 protein Pcf11 (Pre-mRNA cleavage complex II protein Pcf11)	DOMAIN 14..142;  /note="CID";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00724"
O15522	NKX28_HUMAN	Homeobox protein Nkx-2.8 (Homeobox protein NK-2 homolog H)	
Q9UK39	NOCT_HUMAN	Nocturnin (EC 3.1.3.-) (Carbon catabolite repression 4-like protein)	
Q9Y5I0	PCDAD_HUMAN	Protocadherin alpha-13 (PCDH-alpha-13)	DOMAIN 34..133;  /note="Cadherin 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 134..242;  /note="Cadherin 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 243..350;  /note="Cadherin 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 351..455;  /note="Cadherin 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 456..565;  /note="Cadherin 5";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 581..678;  /note="Cadherin 6";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"
Q9BUL8	PDC10_HUMAN	Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15)	
Q96MY1	NOL4L_HUMAN	Nucleolar protein 4-like	
P86478	PR20E_HUMAN	Proline-rich protein 20E	
Q8NH01	O2T11_HUMAN	Olfactory receptor 2T11 (Olfactory receptor OR1-65)	
P12955	PEPD_HUMAN	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase)	
Q8NDH3	PEPL1_HUMAN	Probable aminopeptidase NPEPL1 (EC 3.4.11.-) (Aminopeptidase-like 1)	
Q9UKL2	O52A1_HUMAN	Olfactory receptor 52A1 (HPFH1OR) (Odorant receptor HOR3'beta4) (Olfactory receptor OR11-319)	
Q9H340	O51B6_HUMAN	Olfactory receptor 51B6 (Odorant receptor HOR5'beta6)	
Q96KF2	PRAC1_HUMAN	Small nuclear protein PRAC1 (Prostate cancer susceptibility candidate protein 1) (Prostate, rectum and colon expressed gene protein)	
Q6IFG1	O52E8_HUMAN	Olfactory receptor 52E8 (Olfactory receptor OR11-54)	
Q9UHM6	OPN4_HUMAN	Melanopsin (Opsin-4)	
P78316	NOP14_HUMAN	Nucleolar protein 14 (Nucleolar complex protein 14)	
Q8NGJ4	O52E2_HUMAN	Olfactory receptor 52E2	
Q8NGK2	O52B4_HUMAN	Olfactory receptor 52B4 (Olfactory receptor OR11-3)	
O95047	OR2A4_HUMAN	Olfactory receptor 2A4 (Olfactory receptor 2A10) (Olfactory receptor OR6-37)	
Q9GZK3	OR2B2_HUMAN	Olfactory receptor 2B2 (Hs6M1-10) (Olfactory receptor 2B9) (Olfactory receptor 6-1) (OR6-1)	
Q8NGS0	OR1N1_HUMAN	Olfactory receptor 1N1 (Olfactory receptor 1-26) (OR1-26) (Olfactory receptor 1N3) (Olfactory receptor OR9-22)	
O95006	OR2F2_HUMAN	Olfactory receptor 2F2 (Olfactory receptor 7-1) (OR7-1) (Olfactory receptor OR7-6)	
O76001	OR2J3_HUMAN	Olfactory receptor 2J3 (Hs6M1-3) (Olfactory receptor OR6-16) (OR6-6) (Olfactory receptor 6-6)	
Q8NGR5	OR1L4_HUMAN	Olfactory receptor 1L4 (OST046) (Olfactory receptor 1L5) (Olfactory receptor 9-E) (OR9-E) (Olfactory receptor OR9-29)	
O75459	PAGE1_HUMAN	P antigen family member 1 (PAGE-1) (AL5) (G antigen 9) (GAGE-9) (G antigen family B member 1) (Prostate-associated gene 1 protein)	
Q5SV97	PERM1_HUMAN	PGC-1 and ERR-induced regulator in muscle protein 1 (PPARGC1 and ESRR-induced regulator in muscle 1) (Peroxisome proliferator-activated receptor gamma coactivator 1 and estrogen-related receptor-induced regulator in muscle 1)	
P0C7T2	OR2T7_HUMAN	Olfactory receptor 2T7 (OST723) (olfactory receptor OR1-44)	
O43900	PRIC3_HUMAN	Prickle planar cell polarity protein 3 (LIM domain only protein 6) (LMO-6) (Prickle-like protein 3) (Pk3) (Triple LIM domain protein 6)	DOMAIN 74..182;  /note="PET";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00636"; DOMAIN 184..249;  /note="LIM zinc-binding 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 250..309;  /note="LIM zinc-binding 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 310..373;  /note="LIM zinc-binding 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"
Q8NH72	OR4C6_HUMAN	Olfactory receptor 4C6 (Olfactory receptor OR11-138)	
Q8NGB9	OR4F6_HUMAN	Olfactory receptor 4F6 (Olfactory receptor 4F12) (Olfactory receptor OR15-15)	
Q8NG97	OR2Z1_HUMAN	Olfactory receptor 2Z1 (Olfactory receptor 2Z2) (Olfactory receptor OR19-4)	
Q96R30	OR2V2_HUMAN	Olfactory receptor 2V2 (Olfactory receptor 2V3) (Olfactory receptor OR5-3)	
Q8NGD4	OR4K1_HUMAN	Olfactory receptor 4K1 (Olfactory receptor OR14-19)	
P61581	NP24_HUMAN	Endogenous retrovirus group K member 24 Np9 protein (HERV-K101 Np9 protein) (HERV-K_22q11.21 provirus Np9 protein)	
Q8NGC6	OR4KH_HUMAN	Olfactory receptor 4K17 (Olfactory receptor OR14-29)	
Q6P499	NPAL3_HUMAN	NIPA-like protein 3	
O00541	PESC_HUMAN	Pescadillo homolog	DOMAIN 322..415;  /note="BRCT";  /evidence="ECO:0000255|HAMAP-Rule:MF_03028"
Q8NGD0	OR4M1_HUMAN	Olfactory receptor 4M1 (Olfactory receptor OR14-7)	
O60287	NPA1P_HUMAN	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	
Q6IEY1	OR4F3_HUMAN	Olfactory receptor 4F3/4F16/4F29 (Olfactory receptor OR1-1)	
Q8NGM1	OR4CF_HUMAN	Olfactory receptor 4C15 (Olfactory receptor OR11-127) (Olfactory receptor OR11-134)	
Q8NGV6	OR5H6_HUMAN	Olfactory receptor 5H6 (Olfactory receptor OR3-11)	
Q8NG75	OR5T1_HUMAN	Olfactory receptor 5T1 (Olfactory receptor OR11-179)	
O94776	MTA2_HUMAN	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1) (MTA1-L1 protein) (p53 target protein in deacetylase complex)	DOMAIN 1..144;  /note="BAH";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00370"; DOMAIN 145..256;  /note="ELM2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00512"; DOMAIN 263..315;  /note="SANT";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00624"
P0DN80	OR5H8_HUMAN	Olfactory receptor 5H8 (Olfactory receptor 5H8 pseudogene) (Olfactory receptor OR3-7)	
Q9BPZ3	PAIP2_HUMAN	Polyadenylate-binding protein-interacting protein 2 (PABP-interacting protein 2) (PAIP-2) (Poly(A)-binding protein-interacting protein 2)	
P05120	PAI2_HUMAN	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)	
Q8IWE2	NXP20_HUMAN	Protein NOXP20 (Nervous system overexpressed protein 20) (Protein FAM114A1)	
Q8N146	OR8H3_HUMAN	Olfactory receptor 8H3 (Olfactory receptor OR11-172)	
Q9H208	O10A2_HUMAN	Olfactory receptor 10A2 (HP4) (Olfactory receptor OR11-86)	
Q15620	OR8B8_HUMAN	Olfactory receptor 8B8 (Olfactory receptor TPCR85) (Olfactory-like receptor JCG8)	
A0A075B767	PAL4H_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4H (PPIase A-like 4H) (EC 5.2.1.8)	DOMAIN 7..163;  /note="PPIase cyclophilin-type";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00156"
Q8NGA2	OR7A2_HUMAN	Putative olfactory receptor 7A2 (Putative olfactory receptor 7A7)	
P0DN82	O12D1_HUMAN	Olfactory receptor 12D1 (Olfactory receptor 12D1 pseudogene)	
Q8NH07	O11H2_HUMAN	Olfactory receptor 11H2 (Olfactory receptor OR14-1)	
Q8NGE9	OR9Q2_HUMAN	Olfactory receptor 9Q2	
O60403	O10H2_HUMAN	Olfactory receptor 10H2 (Olfactory receptor OR19-23)	
Q8NH19	O10AG_HUMAN	Olfactory receptor 10AG1 (Olfactory receptor OR11-160)	
Q9NP74	PALMD_HUMAN	Palmdelphin (Paralemmin-like protein)	
P01236	PRL_HUMAN	Prolactin (PRL)	
P78549	NTH_HUMAN	Endonuclease III-like protein 1 (hNTH1) (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	DOMAIN 199..223;  /note="HhH";  /evidence="ECO:0000255|HAMAP-Rule:MF_03183"
A0A2R8YFL7	OSP4A_HUMAN	Oocyte-secreted protein 4A	
Q9Y303	NAGA_HUMAN	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25) (Amidohydrolase domain-containing protein 2)	
Q9BWT3	PAPOG_HUMAN	Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Neo-poly(A) polymerase) (Neo-PAP) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme)	
Q5QFB9	PAPAS_HUMAN	Protein PAPPAS (DIPLA1 antisense RNA 1) (DIPLA1 antisense gene protein 1) (DIPLA1-antisense expressed) (PAPPAS antisense RNA 1) (PAPPAS antisense gene protein 1) (PAPPAS-antisense expressed)	
Q86Y39	NDUAB_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7)	
O75438	NDUB1_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 (Complex I-MNLL) (CI-MNLL) (NADH-ubiquinone oxidoreductase MNLL subunit)	
Q96DH6	MSI2H_HUMAN	RNA-binding protein Musashi homolog 2 (Musashi-2)	DOMAIN 21..111;  /note="RRM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 110..187;  /note="RRM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"
O96000	NDUBA_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Complex I-PDSW) (CI-PDSW) (NADH-ubiquinone oxidoreductase PDSW subunit)	
Q9NR21	PAR11_HUMAN	Protein mono-ADP-ribosyltransferase PARP11 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 11) (ARTD11) (Poly [ADP-ribose] polymerase 11) (PARP-11)	DOMAIN 22..106;  /note="WWE";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00248"; DOMAIN 123..338;  /note="PARP catalytic";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00397"
Q5TEU4	NDUF5_HUMAN	Arginine-hydroxylase NDUFAF5, mitochondrial (EC 1.-.-.-) (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5) (Putative methyltransferase NDUFAF5) (EC 2.1.1.-)	
O75306	NDUS2_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	
Q00325	MPCP_HUMAN	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)	
Q9UQ72	PSG11_HUMAN	Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)	DOMAIN 35..144;  /note="Ig-like V-type"; DOMAIN 147..234;  /note="Ig-like C2-type 1"; DOMAIN 242..317;  /note="Ig-like C2-type 2"
P19404	NDUV2_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)	
Q8NC96	NECP1_HUMAN	Adaptin ear-binding coat-associated protein 1 (NECAP endocytosis-associated protein 1) (NECAP-1)	
Q9UPV0	CE164_HUMAN	Centrosomal protein of 164 kDa (Cep164)	DOMAIN 56..89;  /note="WW";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00224"
P49918	CDN1C_HUMAN	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2)	
Q9BWT7	CAR10_HUMAN	Caspase recruitment domain-containing protein 10 (CARD-containing MAGUK protein 3) (Carma 3)	DOMAIN 23..115;  /note="CARD";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00046"
Q9NTU7	CBLN4_HUMAN	Cerebellin-4 (Cerebellin-like glycoprotein 1)	DOMAIN 66..201;  /note="C1q";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00368"
Q9H2A2	AL8A1_HUMAN	2-aminomuconic semialdehyde dehydrogenase (EC 1.2.1.32) (Aldehyde dehydrogenase 12) (Aldehyde dehydrogenase family 8 member A1)	
P20292	AL5AP_HUMAN	Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein)	
A6NKD9	CC85C_HUMAN	Coiled-coil domain-containing protein 85C	
A6NK59	ASB14_HUMAN	Ankyrin repeat and SOCS box protein 14 (ASB-14)	DOMAIN 521..576;  /note="SOCS box";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00194"
P23528	COF1_HUMAN	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	DOMAIN 4..153;  /note="ADF-H";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00599"
Q9BZR8	B2L14_HUMAN	Apoptosis facilitator Bcl-2-like protein 14 (Bcl2-L-14) (Apoptosis regulator Bcl-G)	
Q6ZS94	CA229_HUMAN	Putative uncharacterized protein C1orf229	
P50052	AGTR2_HUMAN	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2)	
Q99933	BAG1_HUMAN	BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1)	DOMAIN 144..224;  /note="Ubiquitin-like";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00214"; DOMAIN 246..326;  /note="BAG";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00369"
Q9NY35	CLDN1_HUMAN	Claudin domain-containing protein 1 (Membrane protein GENX-3745)	
Q9H305	CDIP1_HUMAN	Cell death-inducing p53-target protein 1 (Cell death involved p53-target) (Cell death-inducing protein) (LITAF-like protein) (Lipopolysaccharide-induced tumor necrosis factor-alpha-like protein) (Transmembrane protein I1)	DOMAIN 122..206;  /note="LITAF";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01181"
P0DML3	CSH2_HUMAN	Chorionic somatomammotropin hormone 2 (Choriomammotropin) (Lactogen) (Placental lactogen) (PL)	
Q00610	CLH1_HUMAN	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	
P80723	BASP1_HUMAN	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	
Q96FZ7	CHMP6_HUMAN	Charged multivesicular body protein 6 (Chromatin-modifying protein 6) (Vacuolar protein sorting-associated protein 20) (Vps20) (hVps20)	
Q2VPB7	AP5B1_HUMAN	AP-5 complex subunit beta-1 (Adaptor-related protein complex 5 beta subunit) (Beta5)	
P07320	CRGD_HUMAN	Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 4)	DOMAIN 2..40;  /note="Beta/gamma crystallin 'Greek key' 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00028"; DOMAIN 41..83;  /note="Beta/gamma crystallin 'Greek key' 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00028"; DOMAIN 88..128;  /note="Beta/gamma crystallin 'Greek key' 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00028"; DOMAIN 129..171;  /note="Beta/gamma crystallin 'Greek key' 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00028"
Q6ZTN6	AN13D_HUMAN	Ankyrin repeat domain-containing protein 13D	DOMAIN 395..414;  /note="UIM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00213"; DOMAIN 441..460;  /note="UIM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00213"; DOMAIN 477..496;  /note="UIM 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00213"; DOMAIN 502..518;  /note="UIM 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00213"
Q16537	2A5E_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)	
Q5JPF3	AN36C_HUMAN	Ankyrin repeat domain-containing protein 36C (Protein immuno-reactive with anti-PTH polyclonal antibodies)	
Q96RY5	CRML_HUMAN	Protein cramped-like (Cramped chromatin regulator homolog 1) (Hematological and neurological expressed 1-like protein)	DOMAIN 161..224;  /note="SANT";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00624"
O95622	ADCY5_HUMAN	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5)	DOMAIN 469..596;  /note="Guanylate cyclase 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00099"; DOMAIN 1071..1210;  /note="Guanylate cyclase 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00099"
Q86UK0	ABCAC_HUMAN	ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12)	DOMAIN 1346..1577;  /note="ABC transporter 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"; DOMAIN 2254..2489;  /note="ABC transporter 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"
Q9NP78	ABCB9_HUMAN	ATP-binding cassette sub-family B member 9 (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)	DOMAIN 188..471;  /note="ABC transmembrane type-1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; DOMAIN 504..740;  /note="ABC transporter";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"
P78536	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	DOMAIN 223..474;  /note="Peptidase M12B";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00276"; DOMAIN 475..563;  /note="Disintegrin";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00068"
Q13639	5HT4R_HUMAN	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	
O95870	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (hBAT5) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23) (Protein G5)	DOMAIN 281..407;  /note="AB hydrolase-1";  /evidence="ECO:0000255"
Q9BUJ0	ABHEA_HUMAN	Protein ABHD14A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14A) (Abhydrolase domain-containing protein 14A)	
Q9BYJ0	FGFP2_HUMAN	Fibroblast growth factor-binding protein 2 (FGF-BP2) (FGF-binding protein 2) (FGFBP-2) (37 kDa killer-specific secretory protein) (Ksp37) (HBp17-related protein) (HBp17-RP)	
A8MWA6	F90AM_HUMAN	Putative protein FAM90A22P	
Q9BQN1	FA83C_HUMAN	Protein FAM83C	
Q13115	DUS4_HUMAN	Dual specificity protein phosphatase 4 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH2) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2)	DOMAIN 41..159;  /note="Rhodanese";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00173"; DOMAIN 197..394;  /note="Tyrosine-protein phosphatase"
Q6ZN92	DUTL_HUMAN	Putative inactive deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323 (dUTPase-like protein)	
Q9NQZ3	DAZ1_HUMAN	Deleted in azoospermia protein 1	DOMAIN 40..115;  /note="RRM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 205..280;  /note="RRM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 370..445;  /note="RRM 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 497..520;  /note="DAZ 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 521..544;  /note="DAZ 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 545..568;  /note="DAZ 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 569..592;  /note="DAZ 4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 593..616;  /note="DAZ 5";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 617..640;  /note="DAZ 6";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 641..664;  /note="DAZ 7";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 665..688;  /note="DAZ 8";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"; DOMAIN 689..712;  /note="DAZ 9";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01238"
Q6PIV2	FOXR1_HUMAN	Forkhead box protein R1 (Forkhead box protein N5)	
Q9NQ69	LHX9_HUMAN	LIM/homeobox protein Lhx9 (LIM homeobox protein 9)	DOMAIN 69..130;  /note="LIM zinc-binding 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 131..193;  /note="LIM zinc-binding 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"
Q969J5	I22R2_HUMAN	Interleukin-22 receptor subunit alpha-2 (IL-22 receptor subunit alpha-2) (IL-22R-alpha-2) (IL-22RA2) (Cytokine receptor class-II member 10) (Cytokine receptor family 2 member 10) (CRF2-10) (Cytokine receptor family type 2, soluble 1) (CRF2-S1) (Interleukin-22-binding protein) (IL-22BP) (IL22BP) (ZcytoR16)	DOMAIN 26..68;  /note="Fibronectin type-III 1"; DOMAIN 100..161;  /note="Fibronectin type-III 2"; DOMAIN 162..263;  /note="Fibronectin type-III 3"
P50458	LHX2_HUMAN	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	DOMAIN 53..105;  /note="LIM zinc-binding 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 115..168;  /note="LIM zinc-binding 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"
O00458	IFRD1_HUMAN	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)	
Q07820	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1 (Bcl-2-like protein 3) (Bcl2-L-3) (Bcl-2-related protein EAT/mcl1) (mcl1/EAT)	
P48741	HSP77_HUMAN	Putative heat shock 70 kDa protein 7 (Heat shock 70 kDa protein B)	
Q5HYA8	MKS3_HUMAN	Meckelin (Meckel syndrome type 3 protein) (Transmembrane protein 67)	
Q8TDR0	MIPT3_HUMAN	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3) (MIP-T3)	
Q15049	MLC1_HUMAN	Membrane protein MLC1	
C9JG80	NPIB4_HUMAN	Nuclear pore complex-interacting protein family member B4	
Q6P1Q0	LTMD1_HUMAN	LETM1 domain-containing protein 1 (Cervical cancer 1 proto-oncogene protein p40) (Cervical cancer proto-oncogene 2 protein) (HCCR-1) (HCRR-2)	DOMAIN 186..360;  /note="Letm1 RBD";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01094"
P55073	IOD3_HUMAN	Thyroxine 5-deiodinase (EC 1.21.99.3) (5DIII) (DIOIII) (Type 3 DI) (Type III iodothyronine deiodinase)	
P28336	NMBR_HUMAN	Neuromedin-B receptor (NMB-R) (Epididymis tissue protein Li 185a) (Neuromedin-B-preferring bombesin receptor)	
Q9UBE8	NLK_HUMAN	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	DOMAIN 138..427;  /note="Protein kinase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q14995	NR1D2_HUMAN	Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)	DOMAIN 369..579;  /note="NR LBD";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01189"
Q6N063	OGFD2_HUMAN	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 (EC 1.14.11.-)	DOMAIN 215..309;  /note="Fe2OG dioxygenase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00805"
P61366	OSTN_HUMAN	Osteocrin (Musclin) [Cleaved into: Processed Osteocrin]	
Q5TC84	OGRL1_HUMAN	Opioid growth factor receptor-like protein 1	
